first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Roberto,Firmino,8,8,139,2723,20,579.7,656.0,1543.0,18,523,278.0,16,0,0,10.8,94
Divock,Origi,3,3,55,626,11,125.0,169.4,203.0,6,193,49.5,2,0,1,2.4,51
Alisson,Ramses Becker,0,1,116,2183,17,10.0,462.4,0.0,11,513,47.4,13,1,0,9.6,62
Simon,Mignolet,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Mohamed,Salah,19,9,223,2603,20,753.7,1010.2,1916.0,26,646,367.9,16,0,1,35.8,125
Sadio,Mané,16,9,200,2453,22,706.2,900.6,1082.0,26,601,269.0,12,0,3,22.3,123
Alex,Oxlade-Chamberlain,3,0,62,1332,9,264.2,237.0,369.0,2,218,86.4,8,0,1,0.6,61
Xherdan,Shaqiri,1,0,14,174,2,46.7,47.8,37.0,0,51,13.2,1,0,0,0.2,63
Adam,Lallana,1,1,27,371,5,68.8,107.2,74.0,1,97,25.1,1,0,1,0.1,57
Naby,Keita,1,3,41,607,4,217.3,212.6,130.0,3,169,56.2,5,0,1,0.3,58
Fabio Henrique,Tavares,2,2,67,1803,20,300.9,375.2,75.0,7,359,75.2,6,0,6,1.2,54
Jordan,Henderson,4,5,116,2234,14,425.9,582.6,275.0,11,530,128.5,16,0,2,1.8,53
Georginio,Wijnaldum,3,0,94,2616,22,275.8,380.4,341.0,5,426,99.7,12,0,0,2.1,54
James,Milner,2,2,46,810,7,141.4,214.4,100.0,3,177,45.6,4,0,4,0.5,53
Rafael,Camacho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
